文番号,文字数,単語数,平均単語長,感情スコア
1,104,66,1.5606060606060606,0.0012552882605942894
2,60,41,1.4634146341463414,0.42259748045530454
3,48,35,1.3714285714285714,0.003506676788229135
4,41,30,1.3666666666666667,0.02437122300455119
5,122,78,1.564102564102564,3.3203550306892815e-05
6,22,17,1.2941176470588236,0.7437427075990123
7,19,12,1.5,0.10118708369638285
8,23,19,1.2105263157894737,0.8963763307234928
9,34,23,1.4782608695652173,0.015503943292373146
10,40,24,1.6666666666666667,0.599943530579494
11,38,24,1.5833333333333333,0.066264586541535
12,57,44,1.25,0.03244302935318022
13,48,31,1.5483870967741935,0.8371816617565195
14,57,34,1.6764705882352942,0.019878687243998994
15,36,26,1.3461538461538463,0.6147040236571878
16,44,29,1.5172413793103448,0.5972482421045455
17,45,31,1.3870967741935485,0.4057101603087877
18,15,7,1.8571428571428572,0.7549049838107804
19,55,42,1.3095238095238095,0.0005020418926222625
20,173,128,1.3515625,0.03114280639602718
21,74,49,1.510204081632653,0.6147148100003733
22,150,105,1.4190476190476191,0.2824099463861123
23,58,41,1.4146341463414633,0.24601754769633888
24,84,60,1.4,0.5497464966870856
25,53,40,1.325,0.0861091308364269
26,49,32,1.5,0.10429152152484422
27,27,20,1.35,0.7308536489021453
28,38,25,1.52,0.15207188811030858
29,28,15,1.8666666666666667,0.03793000078983544
30,52,39,1.3333333333333333,0.20976356052265355
31,56,35,1.5714285714285714,0.4637689669118441
32,12,6,2.0,0.7302895656102929
33,55,36,1.4722222222222223,0.5079737787660052
34,65,44,1.4772727272727273,0.3539128383379704
35,92,70,1.3142857142857143,0.31849321868480185
36,11,9,1.2222222222222223,0.7139787602137307
37,100,72,1.3888888888888888,0.006690676103265569
38,127,89,1.4269662921348314,0.0010889637682243158
39,48,32,1.5,0.004538530704855326
40,44,29,1.5172413793103448,0.024982352719416956
41,13,7,1.8571428571428572,0.7582887940681493
42,59,40,1.475,0.28178227963589775
43,24,17,1.2941176470588236,0.5039715198306738
44,43,29,1.4827586206896552,0.8404592209128533
45,42,27,1.5555555555555556,0.17493770735685898
46,48,35,1.3714285714285714,0.12186066215660896
47,71,54,1.3148148148148149,0.8757779228424175
48,64,54,1.1851851851851851,0.010426427840699137
49,61,40,1.525,0.0021858659953574167
50,46,32,1.4375,0.1592030563720932
51,40,30,1.3333333333333333,0.8773377095430938
52,29,23,1.173913043478261,0.6832127669055345
53,45,26,1.7307692307692308,0.3422481643178381
54,70,56,1.25,0.3106692801176515
55,20,16,1.25,0.1357781072368055
56,31,22,1.4090909090909092,0.1702613575714561
57,26,17,1.5294117647058822,0.6998348128956311
58,35,21,1.6666666666666667,0.7059938747056721
59,82,55,1.4545454545454546,0.012398583002994457
60,33,23,1.434782608695652,0.36849475257934816
61,75,54,1.3888888888888888,0.9133489574607244
62,72,50,1.42,0.002874706349829226
63,22,15,1.4,0.1378251430710844
64,63,40,1.575,0.9857805005777387
65,31,19,1.5263157894736843,0.39993750577496257
66,27,21,1.2857142857142858,0.7662115638423236
67,45,33,1.3636363636363635,0.7044350413827648
68,42,24,1.7083333333333333,0.21265113375993916
69,113,86,1.2906976744186047,0.004813595461706788
70,71,50,1.42,0.22638372305316146
71,15,10,1.4,0.7466697571806901
72,153,111,1.3783783783783783,8.663250103257969e-05
73,63,47,1.3404255319148937,0.003060360875933643
74,21,14,1.4285714285714286,0.23378229019032193
75,8,6,1.1666666666666667,0.3666704608480664
76,35,26,1.3461538461538463,0.9721107100850945
77,17,13,1.2307692307692308,0.14107322118793164
78,102,65,1.5538461538461539,0.001101649378144498
79,50,40,1.25,0.21302355712765186
80,50,39,1.2820512820512822,0.0752500690140252
81,25,17,1.4705882352941178,0.5450685510661234
82,39,27,1.4074074074074074,0.015144560325810796
83,19,13,1.4615384615384615,0.07888261599750257
84,49,33,1.4848484848484849,0.08041841469322075
85,48,32,1.46875,0.005106862521793709
86,29,23,1.2608695652173914,0.0011261012327928865
87,15,14,1.0714285714285714,0.003457496698320517
88,28,19,1.4736842105263157,0.22581090279914573
89,35,24,1.4166666666666667,0.06420380515701773
90,26,14,1.7857142857142858,0.5286573818550162
91,22,14,1.5714285714285714,0.38024942307198717
92,34,25,1.36,0.051916264100449694
93,132,84,1.5714285714285714,0.0043887163022944264
94,17,14,1.2142857142857142,0.0035130464107611115
95,35,22,1.5454545454545454,0.6408614296115127
96,26,18,1.3888888888888888,0.6034011056649192
97,14,7,2.0,0.7053990101504861
98,21,12,1.75,0.0301448234861611
99,48,33,1.4545454545454546,0.35046070894794945
100,74,50,1.48,0.0014234604745627655
101,59,40,1.475,0.8902392244523315
102,46,34,1.3529411764705883,0.10327053274269082
103,252,176,1.4204545454545454,0.7892599749517956
104,190,136,1.3970588235294117,0.07720738417285855
105,114,79,1.4430379746835442,0.3701487605719286
106,83,54,1.537037037037037,0.3172232430760006
107,26,17,1.411764705882353,0.2616221928232194
108,52,37,1.4054054054054055,0.7070342254746212
109,78,49,1.5918367346938775,0.5929730790483865
110,115,82,1.4024390243902438,0.11457878310173852
111,69,41,1.6829268292682926,0.08325766689053626
112,25,15,1.5333333333333334,0.3241849290378699
113,44,26,1.6923076923076923,0.07880125131633053
114,45,30,1.5,0.02636561374609203
115,54,35,1.542857142857143,0.1391917714681652
116,28,18,1.5555555555555556,0.9368639396726235
117,69,49,1.4081632653061225,0.5808223852707929
118,71,46,1.5434782608695652,0.02863046865529484
119,141,100,1.41,0.0006935036245663273
120,32,26,1.1538461538461537,0.3633323738067685
121,19,11,1.7272727272727273,0.6395645016668318
122,48,34,1.411764705882353,0.060232758606018066
123,94,68,1.3823529411764706,0.04578193014397536
124,66,44,1.5,0.5654622202207245
125,40,25,1.52,0.1406687861710254
126,130,89,1.4606741573033708,0.0005943062860624959
127,58,38,1.5263157894736843,0.8988875862067658
128,26,18,1.3333333333333333,0.9064161663676484
129,39,26,1.5,0.2584229592915215
130,58,45,1.288888888888889,0.1710743340367442
131,48,32,1.5,0.013352335641370505
132,80,53,1.509433962264151,0.9578723064719012
