文番号,文字数,単語数,平均単語長,主成分1,主成分2
1,15,9,1.5555555555555556,-1.2854426862389523,-0.0003381877122377417
2,8,5,1.6,-1.5550175043849055,0.22314482406352287
3,25,15,1.5333333333333334,-0.9211757988789822,-0.08357691244288129
4,36,19,1.894736842105263,-0.8611272365495273,2.0226437748418507
5,20,13,1.5384615384615383,-1.071482222249588,-0.0744183268344206
6,43,27,1.5925925925925926,-0.30143357038927454,0.3351227534635322
7,37,24,1.5416666666666667,-0.4586434493805465,0.01932786185241238
8,34,18,1.8888888888888888,-0.9212803150830052,1.9808864312806043
9,50,31,1.6129032258064515,-0.07695823411025764,0.48121910063858253
10,45,30,1.5,-0.11740004379626837,-0.18158231621636933
11,24,17,1.411764705882353,-0.7994704136323485,-0.7773868736606943
12,36,22,1.6363636363636365,-0.598199541014586,0.5530767250431333
13,48,37,1.2972972972972974,0.272244549963387,-1.3166328842117447
14,21,13,1.6153846153846154,-1.106773355169063,0.3679556442383268
15,28,15,1.8666666666666667,-1.0984812466914988,1.8289133865106928
16,17,12,1.4166666666666667,-1.0691655263923527,-0.7812720426199048
17,36,21,1.7142857142857142,-0.6801294952979382,0.9961189420543926
18,53,33,1.5454545454545454,0.08018625413988571,0.10968090068305171
19,34,24,1.4166666666666667,-0.42643435120915224,-0.7041329035762625
20,7,5,1.4,-1.4340079126005207,-0.9216712098916259
21,37,26,1.4230769230769231,-0.32072984109931735,-0.6541329093319898
22,37,22,1.681818181818182,-0.611574022519738,0.8158490323107211
23,19,12,1.4166666666666667,-1.032599718650166,-0.7745766790774146
24,22,15,1.4666666666666666,-0.9295936786071018,-0.47410940848458555
25,23,14,1.6428571428571428,-1.0616809812137191,0.5331318235138208
26,30,22,1.3636363636363635,-0.5179526519836751,-1.0235571185623884
27,14,10,1.4,-1.1677268315967781,-0.8898088754377121
28,41,25,1.64,-0.4263371601455658,0.5956262411721839
29,29,22,1.318181818181818,-0.5045781704785232,-1.2863294258299762
30,29,15,1.8,-1.0337675109352462,1.45177161755397
31,26,19,1.368421052631579,-0.6773970761670962,-1.0146971275650825
32,20,12,1.6666666666666667,-1.1884324343484198,0.6556064429237098
33,30,18,1.6666666666666667,-0.8396424909501803,0.6991975351023983
34,23,16,1.4375,-0.8633371350050337,-0.635540148995786
35,26,16,1.625,-0.9390751380687645,0.44462947649035867
36,11,9,1.2222222222222223,-1.126420142297518,-1.916176168437067
37,12,9,1.3333333333333333,-1.1855219582350232,-1.2786794021192096
38,59,40,1.475,0.43257368016815095,-0.2605411913315291
39,10,5,2.0,-1.7970366879536737,2.51277689197382
40,41,26,1.5769230769230769,-0.35474629919608164,0.23731039635599271
41,50,32,1.5625,-0.01419412777070345,0.1952363775194052
42,60,41,1.4634146341463414,0.4865855074346515,-0.3216294395013614
43,18,15,1.2,-0.8170019665508378,-2.009457938481437
44,49,34,1.4411764705882353,0.10734055588811708,-0.49717472542367275
45,38,22,1.7272727272727273,-0.6249485040248898,1.0786213395783066
46,55,37,1.4864864864864864,0.2684617054950462,-0.2134317516390673
47,32,19,1.6842105263157894,-0.7876351723965547,0.8077074138790767
48,28,19,1.4736842105263157,-0.7141431082435823,-0.40722894708369645
49,43,30,1.4333333333333331,-0.10753501965329516,-0.5687671304868285
50,15,12,1.25,-0.9896542544216406,-1.7391910329823146
51,53,35,1.5142857142857142,0.1572144771031758,-0.06483884626378907
52,30,22,1.3636363636363635,-0.5179526519836751,-1.0235571185623884
53,26,14,1.8571428571428572,-1.1560742292313086,1.766176674738882
54,33,27,1.2222222222222223,-0.22631354307154314,-1.8121843460709608
55,16,7,2.2857142857142856,-1.8310082426725036,4.1669034819718025
